uri	all	long	error_rate	long_tokens_error_rate	tok_count
0082JamilButhayna.Diwan.ShamAY0037931-ara1	226	4	0.029776021080368906	0.0005270092226613965	7590
0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1	2627	151	0.025084027194255596	0.0014418302650676038	104728
0090AkhtalShacir.Diwan.JK007544-ara1	1391	24	0.06328768369807544	0.0010919514081623367	21979
0090AkhtalShacir.Diwan.ShamAY0037927-ara1	1392	24	0.06334182744812522	0.0010921004732435385	21976
0090RaciNumayriShacir.Diwan.JK007545-ara1	999	16	0.07384683619160261	0.0011827321111768185	13528
0090RaciNumayriShacir.Diwan.ShamAY0037882-ara1	1000	16	0.07394262052647146	0.0011830819284235432	13524
0090WaddahYaman.Diwan.JK007562-ara1	81	3	0.031493001555209954	0.0011664074650077762	2572
0090WaddahYaman.Diwan.ShamAY0037963-ara1	81	3	0.03150525087514586	0.0011668611435239206	2571
0093IbnAbiRabica.Diwan.JK007556-ara1	1504	21	0.0404431537054964	0.0005646982897708938	37188
0093IbnAbiRabica.Diwan.ShamAY0037902-ara1	1509	21	0.04068482070638986	0.0005661903478026422	37090
0094ZaynCabidin.SahifaSajjadiyya.Shia001111-ara2.completed	2382	100	0.01982373355304222	0.0008322306277515625	120159
0094ZaynCabidin.SahifaSajjadiyya.Shia001112-ara1.completed	1543	18	0.05823960141918925	0.0006793991092322791	26494
0094ZaynCabidin.SahifaSajjadiyya.Zaydiyya0000014-ara1	1232	31	0.04162584045680305	0.0010474034530526743	29597
0095CadiIbnRiqac.Diwan.JK007553-ara1	206	3	0.06467817896389325	0.0009419152276295133	3185
0095CadiIbnRiqac.Diwan.ShamAY0037957-ara1	206	3	0.06471881872447377	0.000942507068803016	3183
0104MujahidIbnJabr.Tafsir.JK000459-ara1	5541	48	0.06693888398951399	0.0005798712202664992	82777
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	5921	43	0.0777207513487261	0.0005644303847315017	76183
0104MujahidIbnJabr.Tafsir.Shamela0012810-ara2	4633	34	0.05910041841004184	0.0004337177262986019	78392
0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1	5341	47	0.06299686254157723	0.0005543629544006983	84782
0104MujahidIbnJabr.Tafsir.Tafsir02078-ara1	5040	40	0.06507340124724019	0.0005164555654542872	77451
0105AhwasAnsari.Diwan.JK007543-ara1	289	6	0.03410431909369837	0.0007080481472740147	8474
0105AhwasAnsari.Diwan.ShamAY0037939-ara1	291	6	0.03435655253837072	0.0007083825265643448	8470
0105KuthayyirCazza.Diwan.JK007558-ara1	1070	21	0.059733154692123036	0.0011723329425556857	17913
0105KuthayyirCazza.Diwan.ShamAY0037909-ara1	1070	21	0.059736489504242964	0.001172398392139348	17912
0110Farazdaq.Diwan.JK007547-ara1	340	10	0.053125	0.0015625	6400
0110Farazdaq.Diwan.ShamAY0037829-ara1	340	10	0.053125	0.0015625	6400
